prefecture,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04
tokyo,436,449,527,593,690,779
osaka,209,217,245,279,312,347
aichi,167,170,176,181,186,193
chiba,160,160,164,175,181,192
hokkaido,176,177,177,182,185,190
kanagawa,107,115,120,138,153,182
hyogo,132,136,147,161,167,172
saitama,83,84,98,101,113,131
kyoto,46,54,68,71,79,91
fukuoka,22,23,43,52,62,70
quarantinedAtAirport,31,51,56,60,61,65
fukui,13,15,16,22,31,40
gifu,21,21,22,22,22,39
niigata,31,31,31,31,31,32
oita,28,28,29,29,30,30
ibaraki,16,20,24,24,26,26
gunma,18,18,19,20,20,24
ishikawa,9,11,13,15,16,24
kochi,14,15,17,20,21,21
wakayama,17,17,17,18,20,21
nara,11,11,11,15,19,21
charteredFlight,15,15,15,15,15,15
kumamoto,10,11,14,15,15,15
tochigi,12,12,14,14,14,14
shiga,6,6,7,8,8,14
miyagi,2,6,7,7,12,13
mie,9,11,11,11,12,12
ehime,4,4,9,9,11,11
nagano,8,8,8,9,9,10
aomori,7,7,8,8,9,10
okinawa,8,9,9,9,9,9
yamanashi,4,5,6,8,9,9
fukushima,2,2,4,6,8,9
akita,4,4,6,6,7,9
okayama,3,4,4,4,7,9
toyama,0,1,3,5,8,8
hiroshima,6,6,6,6,6,8
shizuoka,4,4,6,6,6,8
yamaguchi,6,6,6,6,6,7
nagasaki,2,2,2,5,5,7
saga,1,1,2,4,4,5
miyazaki,3,3,3,5,3,4
tokushima,1,1,3,3,3,3
kagoshima,1,1,1,2,3,3
kagawa,1,1,2,2,2,2
yamagata,0,0,1,1,1,1
iwate,0,0,0,0,0,0
tottori,0,0,0,0,0,0
shimane,0,0,0,0,0,0
